symbol,internalId,name,category,importance,definition,whyRevenue,application,caseIndependent,caseChain,related,editorial_status,editorial_notes
"GP","GP__KPI","Margen Bruto (GOPPAR)","Indicadores KPI","5","Indicador que relaciona el beneficio operativo bruto con las habitaciones disponibles.","Mide el beneficio bruto de explotación por habitación disponible, garantizando que las tácticas aplicadas protejan el margen neto de beneficios y no solo inflen las ventas.","Alinear los recursos operativos y las compras del hotel con el rango estimado de ocupación semanal para evitar el desperdicio de horas extras.","Un hotel de montaña contiene los costes cerrando temporalmente un ala secundaria de habitaciones de baja demanda a mitad de semana.","Un gran grupo internacional automatiza los pedidos y plantillas de cocina vinculándolos dinámicamente a las proyecciones de GOPPAR para el mes.","[""RP"",""TP"",""N"",""CH""]","VALIDADO_V2",""
"RP","RP__KPI","Ingreso Habitación Disponible (RevPAR)","Indicadores KPI","5","Indicador que mide los ingresos de alojamiento generados por habitación disponible.","Es el indicador fundamental del sector. Combina la ocupación física disponible con el precio medio cobrado, representando el retorno financiero de la capacidad general del hotel.","Evaluar el éxito de la estrategia integral de ventas comparando el RevPAR del mes contra el presupuesto estimado y el resultado del año anterior.","Un hostal moderno de playa incrementa su RevPAR anual un 10% restringiendo las estancias de una sola noche en fines de semana de alta ocupación.","Un holding hotelero internacional vincula los bonos trimestrales de los directores generales de sus complejos de playa directamente al RevPAR Index.","[""AR"",""OC"",""GP"",""N"",""TP""]","VALIDADO_V2",""
"N","N__KPI","Neto RevPAR","Indicadores KPI","5","RevPAR ajustado descontando costes de distribución, comisiones u otros costes comerciales.","Los KPIs cuantitativos permiten auditar el éxito financiero real de la explotación hotelera más allá de las meras intuiciones subjetivas. RevPAR ajustado descontando costes de distribución, comisiones u otros costes comerciales.","Diseñar cuadros de mando (dashboards) semanales que comparen la evolución de la ocupación, tarifa media y costos por canales versus el mes anterior. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un albergue urbano controla su ADR y comisiones mensuales de OTAs para asegurar que su RevPAR neto rinda por encima de su umbral crítico.","Un consorcio multinacional realiza juntas de directores analizando desviaciones mensuales de GOPPAR y Net RevPAR en todas sus marcas afiliadas.","[""RP"",""AR"",""CH"",""OT"",""BO""]","VALIDADO_V2",""
"TP","TP__KPI","Total RevPAR","Indicadores KPI","5","Indicador que incluye ingresos totales por habitación disponible, no solo alojamiento.","TrevPAR evalúa el gasto completo del huésped en el resort, impulsando la disciplina de Revenue Management total más allá de la simple venta de la cama física.","Estudiar la rentabilidad combinada de habitaciones, restauración y masajes para empujar paquetes cerrados de alto valor.","Un pequeño hotel con viñedo en la Rioja aumenta su TrevPAR sugiriendo catas guiadas y visitas privadas a las bodegas durante el proceso de reserva directa.","Una cadena que opera complejos de todo incluido centraliza la analítica de TrevPAR para calibrar el stock y la fuerza laboral de alimentos y bebidas.","[""RP"",""GP"",""FB"",""FD""]","VALIDADO_V2",""
"FR","FR__TAR","Cancelación Gratuita","Tarifas","4","Tarifa flexible que permite cancelar sin coste hasta una fecha o plazo determinado.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa flexible que permite cancelar sin coste hasta una fecha o plazo determinado.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""NR"",""Y"",""EB"",""PY""]","VALIDADO_V2",""
"NR","NR__TAR","No Reembolsable","Tarifas","4","Tarifa con condiciones restrictivas que normalmente no permite reembolso a cambio de mejor precio.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa con condiciones restrictivas que normalmente no permite reembolso a cambio de mejor precio.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""FR"",""AR"",""CH"",""OT""]","VALIDADO_V2",""
"LS","LS__TAR","Estancias Largas","Tarifas","4","Tarifa o condición especial diseñada para reservas con varias noches o estancias prolongadas.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa o condición especial diseñada para reservas con varias noches o estancias prolongadas.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""AL"",""OC"",""CT"",""DP""]","VALIDADO_V2",""
"EB","EB__TAR","Reservas Anticipadas","Tarifas","4","Tarifa incentivada para reservas realizadas con antelación, útil para captar demanda temprana.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa incentivada para reservas realizadas con antelación, útil para captar demanda temprana.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""PY"",""FR"",""NR"",""BO""]","VALIDADO_V2",""
"CR","CR__TAR","Tarifas Corporativas","Tarifas","4","Tarifa negociada para empresas, cuentas corporativas o viajeros de negocios recurrentes.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa negociada para empresas, cuentas corporativas o viajeros de negocios recurrentes.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""NT"",""PM"",""BU""]","VALIDADO_V2",""
"PY","PY__TAR","Paridad de Precios","Tarifas","4","Consistencia de precios entre canales para evitar conflictos de distribución y percepción de valor.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Consistencia de precios entre canales para evitar conflictos de distribución y percepción de valor.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""FR"",""EB"",""BO""]","VALIDADO_V2",""
"Y","Y__TAR","Tarifas Dinámicas","Tarifas","5","Tarifa ajustable que cambia según demanda, ocupación, antelación, canal y estrategia.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Tarifa ajustable que cambia según demanda, ocupación, antelación, canal y estrategia.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""FR"",""AR"",""OC"",""LS""]","VALIDADO_V2",""
"NT","NT__TAR","Tarifas Netas","Tarifas","4","Precio neto cedido a intermediarios o colaboradores, normalmente sin comisión incluida.","La arquitectura tarifaria adecuada permite capturar de forma óptima el excedente del consumidor de diferentes nichos de mercado (corporativo, ocio, grupos). Precio neto MIEDO a intermediarios o colaboradores, normalmente sin comisión incluida.","Crear una matriz tarifaria variable con reglas bien delineadas de reservas anticipadas y estancias mínimas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique ofrece tarifas 'no reembolsables' con un 15% de descuento para consolidar liquidez de tesorería fuera de temporada.","Una multinacional lanza tarifas opacas combinadas con billetes de avión de forma automática a través de operadores mayoristas tradicionales.","[""CR"",""OT"",""TO""]","VALIDADO_V2",""
"WD","WD__MKT","Diseño Web","Marketing","4","Diseño y optimización de la web del hotel para comunicar valor, mejorar conversión y potenciar venta directa.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Diseño y optimización de la web del hotel para comunicar valor, mejorar conversión y potenciar venta directa.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""SE"",""BO"",""SM"",""L""]","VALIDADO_V2",""
"SM","SM__MKT","Redes Sociales","Marketing","4","Uso de plataformas sociales para visibilidad, inspiración, relación con clientes y construcción de marca.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Uso de plataformas sociales para visibilidad, inspiración, relación con clientes y construcción de marca.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""SE"",""WD"",""CN"",""AD""]","VALIDADO_V2",""
"CN","CN__MKT","Comunicación","Marketing","4","Mensajes, tono y narrativa utilizados para transmitir propuesta de valor y diferenciar el hotel.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Mensajes, tono y narrativa utilizados para transmitir propuesta de valor y diferenciar el hotel.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""SE"",""WD"",""SM"",""EM""]","VALIDADO_V2",""
"AD","AD__MKT","Publicidad","Marketing","4","Acciones de pago para captar demanda, aumentar visibilidad y dirigir tráfico a canales estratégicos.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Acciones de pago para captar demanda, aumentar visibilidad y dirigir tráfico a canales estratégicos.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""SM"",""BO"",""L"",""MT""]","VALIDADO_V2",""
"CM","CM__MKT","Gestor Relaciones Clientes (CRM)","Marketing","4","Sistema y estrategia para gestionar relaciones con clientes, segmentar comunicaciones y fidelizar.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Sistema y estrategia para gestionar relaciones con clientes, segmentar comunicaciones y fidelizar.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"MT","MT__MKT","Metabuscadores","Marketing","4","Presencia en comparadores de precios que muestran disponibilidad y tarifas por canal.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Presencia en comparadores de precios que muestran disponibilidad y tarifas por canal.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""AD"",""DM"",""RI""]","VALIDADO_V2",""
"EM","EM__MKT","Email Marketing","Marketing","4","Comunicación directa por correo electrónico para captar, fidelizar y reactivar clientes.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Comunicación directa por correo electrónico para captar, fidelizar y reactivar clientes.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""BO"",""CN"",""L""]","VALIDADO_V2",""
"L","L__MKT","Misma Fecha Año Anterior","Marketing","4","Comparación con el mismo día del año anterior para analizar ritmo y comportamiento comercial.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Comparación con el mismo día del año anterior para analizar ritmo y comportamiento comercial.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"DM","DM__MKT","Marketing Digital","Marketing","4","Conjunto de estrategias digitales orientadas a atraer tráfico, convertir reservas y fortalecer la marca.","El marketing es el canalizador de la demanda. Atrae tráfico de valor hacia la web oficial, mejorando el canal directo y reduciendo los costosos cargos de distribución externos. Conjunto de estrategias digitales orientadas a atraer tráfico, convertir reservas y fortalecer la marca.","Ejecutar campañas de SEO local y anuncios de metabúsqueda optimizados para capturar clientes en la fase inicial de búsqueda. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel rural boutique lanza anuncios centrados en 'escapadas de fin de semana' en redes sociales de provincias contiguas durante puentes.","Una marca urbana escala campañas globales de retargoteo dinámico con códigos de promoción dirigidos a usuarios que abandonaron la reserva.","[""MT"",""RI"",""MP""]","VALIDADO_V2",""
"MS","MS__CMP","Cuota de Mercado (MPI)","Competidores","4","Indicador de participación o penetración del hotel frente a su mercado o conjunto competitivo.","El Benchmarking constante ayuda a entender el posicionamiento y valor relativo del hotel frente a su Compset (conjunto competitivo). Indicador de participación o penetración del hotel frente a su mercado o conjunto competitivo.","Revaluar periódicamente la cesta de rivales directos en base a renovaciones de habitaciones, reputación online u oferta de restauración. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hostal moderno monitorea el precio de los 3 hostales más similares de la calle los viernes para no quedar fuera del mercado de viajeros mochileros.","Una firma corporativa de primer nivel contrata herramientas automáticas de BI para vigilar diariamente el índice de penetración del compset de todas sus delegaciones.","[""RI"",""MP"",""RG"",""CS""]","VALIDADO_V2",""
"CS","CS__CMP","Competidores","Competidores","4","Hoteles o alojamientos comparables que compiten por el mismo cliente, zona, segmento o propuesta de valor.","El Benchmarking constante ayuda a entender el posicionamiento y valor relativo del hotel frente a su Compset (conjunto competitivo). Hoteles o alojamientos comparables que compiten por el mismo cliente, zona, segmento o propuesta de valor.","Revaluar periódicamente la cesta de rivales directos en base a renovaciones de habitaciones, reputación online u oferta de restauración. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hostal moderno monitorea el precio de los 3 hostales más similares de la calle los viernes para no quedar fuera del mercado de viajeros mochileros.","Una firma corporativa de primer nivel contrata herramientas automáticas de BI para vigilar diariamente el índice de penetración del compset de todas sus delegaciones.","[""RI"",""MP"",""RG"",""MS""]","VALIDADO_V2",""
"MP","MP__CMP","Índice de Penetración (MPI)","Competidores","4","Índice que compara la ocupación del hotel con la ocupación del conjunto competitivo.","El Benchmarking constante ayuda a entender el posicionamiento y valor relativo del hotel frente a su Compset (conjunto competitivo). Índice que compara la ocupación del hotel con la ocupación del conjunto competitivo.","Revaluar periódicamente la cesta de rivales directos en base a renovaciones de habitaciones, reputación online u oferta de restauración. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hostal moderno monitorea el precio de los 3 hostales más similares de la calle los viernes para no quedar fuera del mercado de viajeros mochileros.","Una firma corporativa de primer nivel contrata herramientas automáticas de BI para vigilar diariamente el índice de penetración del compset de todas sus delegaciones.","[""RI"",""RG"",""MS"",""CS""]","VALIDADO_V2",""
"RI","RI__CMP","Índice de Ingresos","Competidores","4","Índice que compara el RevPAR del hotel con el RevPAR del conjunto competitivo.","El Benchmarking constante ayuda a entender el posicionamiento y valor relativo del hotel frente a su Compset (conjunto competitivo). Índice que compara el RevPAR del hotel con el RevPAR del conjunto competitivo.","Revaluar periódicamente la cesta de rivales directos en base a renovaciones de habitaciones, reputación online u oferta de restauración. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hostal moderno monitorea el precio de los 3 hostales más similares de la calle los viernes para no quedar fuera del mercado de viajeros mochileros.","Una firma corporativa de primer nivel contrata herramientas automáticas de BI para vigilar diariamente el índice de penetración del compset de todas sus delegaciones.","[""CT"",""DP"",""LS""]","VALIDADO_V2",""
"CH","CH__HER","Channel Manager","Herramientas","5","Herramienta que sincroniza precios, disponibilidad e inventario entre el PMS, motor de reservas y canales externos.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Herramienta que sincroniza precios, disponibilidad e inventario entre el PMS, motor de reservas y canales externos.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""PM"",""RS"",""OT"",""BO"",""GD""]","VALIDADO_V2",""
"RS","RS__HER","Sistema Gestión Ingresos (RMS)","Herramientas","5","Sistema que analiza datos y recomienda o automatiza decisiones de precios, restricciones y forecast.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Sistema que analiza datos y recomienda o automatiza decisiones de precios, restricciones y forecast.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""CH"",""PM"",""BI"",""AR"",""Y""]","VALIDADO_V2",""
"SH","SH__HER","Comparador (Shopper)","Herramientas","4","Herramienta que monitoriza precios de competidores y canales para apoyar decisiones comerciales.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Herramienta que monitoriza precios de competidores y canales para apoyar decisiones comerciales.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"PM","PM__HER","Sistema Gestión Hoteles (PMS)","Herramientas","5","Sistema central de gestión hotelera para reservas, clientes, disponibilidad, facturación y operación diaria.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Sistema central de gestión hotelera para reservas, clientes, disponibilidad, facturación y operación diaria.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""CH"",""RS"",""BI"",""DA""]","VALIDADO_V2",""
"TI","TI__HER","Inteligencia de Viajes","Herramientas","4","Datos de búsqueda, demanda y comportamiento viajero que ayudan a anticipar oportunidades de mercado.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Datos de búsqueda, demanda y comportamiento viajero que ayudan a anticipar oportunidades de mercado.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"BI","BI__HER","Business Intelligence","Herramientas","4","Herramientas de análisis y visualización que convierten datos en información útil para la toma de decisiones.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Herramientas de análisis y visualización que convierten datos en información útil para la toma de decisiones.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""PM"",""RS"",""DA"",""OR""]","VALIDADO_V2",""
"OR","OR__HER","Reputación Online","Herramientas","4","Seguimiento y gestión de reseñas, valoraciones y percepción pública del hotel.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Seguimiento y gestión de reseñas, valoraciones y percepción pública del hotel.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"BE","BE__HER","Motor de Reservas","Herramientas","4","Motor que permite reservar directamente en la web del hotel, conectando disponibilidad, precios y condiciones.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Motor que permite reservar directamente en la web del hotel, conectando disponibilidad, precios y condiciones.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"BH","BH__HER","Comparación (Benchmark)","Herramientas","4","Comparación sistemática de resultados, precios o prácticas frente al mercado o competidores.","Las aplicaciones de software liberan al equipo del hotel de tareas repetitivas, permitiéndoles enfocar los esfuerzos en la fijación de estrategias. Comparación sistemática de resultados, precios o prácticas frente al mercado o competidores.","Vincular el RMS con el PMS para automatizar el trasvase de reservas e incorporar las recomendaciones dinámicas de precio propuestas. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un pequeño hotel en el Pirineo adopta un RMS liviano en régimen SaaS para actualizar tarifas automáticamente según el nivel de demanda local en pistas.","Un grupo global consolida un equipo central de analistas automatizando informes integrados procedentes de más de 300 PMS locales.","[""RM"",""AR"",""RP"",""OC"",""CH""]","VALIDADO_V2",""
"RC","RC__PER","Selección","Personas","4","Proceso de atraer y seleccionar perfiles adecuados para el equipo hotelero y la estrategia comercial.","El equipo humano decide la experiencia final del huésped. Un personal capacitado y motivado es la mejor herramienta de fidelización e ingresos indirectos. Proceso de atraer y seleccionar perfiles adecuados para el equipo hotelero y la estrategia comercial.","Capacitar sistemáticamente a la recepción en técnicas de Up-selling duraderas en el momento del recibimiento del viajero. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un establecimiento boutique premia mensualmente con comisiones por venta opcional a los recepcionistas que ofrezcan mejoras de suite exitosas.","Una cadena urbana multinacional articula un campus interactivo corporativo de desarrollo profesional en Revenue Management con planes de ascenso claros.","[""EQ"",""CF"",""LC""]","VALIDADO_V2",""
"TR","TR__PER","Formación","Personas","4","Capacitación continua del equipo para mejorar competencias, servicio, ventas y toma de decisiones.","El equipo humano decide la experiencia final del huésped. Un personal capacitado y motivado es la mejor herramienta de fidelización e ingresos indirectos. Capacitación continua del equipo para mejorar competencias, servicio, ventas y toma de decisiones.","Capacitar sistemáticamente a la recepción en técnicas de Up-selling duraderas en el momento del recibimiento del viajero. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un establecimiento boutique premia mensualmente con comisiones por venta opcional a los recepcionistas que ofrezcan mejoras de suite exitosas.","Una cadena urbana multinacional articula un campus interactivo corporativo de desarrollo profesional en Revenue Management con planes de ascenso claros.","[""EQ"",""CF"",""LC"",""RC""]","VALIDADO_V2",""
